iter	Passed	Remaining
886	12446	43683
887	12461	43670
888	12475	43655
889	12487	43636
890	12502	43624
891	12516	43611
892	12530	43596
893	12543	43581
894	12558	43569
895	12573	43557
896	12588	43548
897	12602	43531
898	12616	43519
899	12631	43507
900	12645	43495
901	12659	43479
902	12673	43465
903	12687	43450
904	12699	43432
905	12713	43417
906	12727	43402
907	12741	43389
908	12757	43379
909	12770	43363
910	12784	43349
911	12798	43336
912	12812	43319
913	12825	43302
914	12839	43287
915	12852	43270
916	12866	43256
917	12878	43238
918	12892	43224
919	12907	43212
920	12921	43197
921	12935	43184
922	12949	43168
923	12962	43153
924	12975	43133
925	12988	43116
926	13001	43098
927	13016	43087
928	13029	43073
929	13042	43055
930	13057	43044
931	13070	43025
932	13083	43010
933	13097	42994
934	13111	42980
935	13125	42965
936	13139	42951
937	13153	42939
938	13167	42925
939	13183	42915
940	13197	42900
941	13211	42888
942	13225	42873
943	13239	42859
944	13253	42846
945	13268	42835
946	13283	42822
947	13296	42807
948	13311	42795
949	13324	42779
950	13338	42765
951	13353	42754
952	13367	42738
953	13380	42722
954	13394	42708
955	13408	42694
956	13422	42679
957	13436	42664
958	13449	42647
959	13463	42635
960	13477	42619
961	13491	42606
962	13504	42590
963	13517	42572
964	13532	42559
965	13545	42543
966	13559	42528
967	13572	42513
968	13587	42502
969	13602	42489
970	13617	42478
971	13630	42460
972	13644	42446
973	13657	42430
974	13670	42413
975	13684	42398
976	13697	42381
977	13710	42366
978	13723	42349
979	13737	42335
980	13752	42323
981	13765	42306
982	13781	42296
983	13794	42282
984	13808	42266
985	13823	42254
986	13837	42241
987	13851	42228
988	13865	42214
989	13879	42199
990	13894	42189
991	13909	42178
992	13922	42161
993	13936	42146
994	13949	42129
995	13962	42111
996	13977	42099
997	13990	42084
998	14004	42068
999	14017	42053
1000	14030	42034
1001	14044	42020
1002	14058	42007
1003	14073	41995
1004	14087	41983
1005	14102	41970
1006	14116	41956
1007	14130	41942
1008	14144	41929
1009	14158	41916
1010	14173	41902
1011	14186	41887
1012	14201	41874
1013	14214	41857
1014	14227	41841
1015	14241	41828
1016	14255	41812
1017	14268	41796
1018	14281	41780
1019	14295	41764
1020	14310	41754
1021	14324	41740
1022	14338	41724
1023	14351	41709
1024	14365	41696
1025	14379	41681
1026	14392	41664
1027	14407	41652
1028	14420	41636
1029	14434	41622
1030	14448	41607
1031	14461	41591
1032	14476	41579
1033	14490	41564
1034	14503	41548
1035	14516	41532
1036	14530	41516
1037	14544	41503
1038	14559	41491
1039	14572	41476
1040	14587	41464
1041	14601	41449
1042	14614	41434
1043	14627	41416
1044	14641	41403
1045	14656	41390
1046	14671	41379
1047	14686	41367
1048	14700	41353
1049	14713	41337
1050	14726	41322
1051	14741	41310
1052	14757	41301
1053	14769	41283
1054	14783	41268
1055	14798	41255
1056	14811	41239
1057	14824	41223
1058	14838	41208
1059	14851	41192
1060	14865	41178
1061	14879	41164
1062	14893	41150
1063	14907	41134
1064	14920	41120
1065	14934	41104
1066	14948	41089
1067	14962	41076
1068	14976	41061
1069	14990	41049
1070	15004	41034
1071	15018	41020
1072	15031	41003
1073	15044	40987
1074	15058	40972
1075	15072	40958
1076	15085	40943
1077	15099	40927
1078	15112	40912
1079	15126	40897
1080	15140	40883
1081	15155	40871
1082	15169	40859
1083	15183	40843
1084	15196	40827
1085	15211	40815
1086	15224	40800
1087	15238	40785
1088	15252	40772
1089	15266	40756
1090	15281	40744
1091	15295	40731
1092	15308	40716
1093	15322	40702
1094	15337	40690
1095	15351	40674
1096	15364	40659
1097	15378	40645
1098	15391	40628
1099	15406	40617
1100	15421	40606
1101	15435	40592
1102	15448	40575
1103	15461	40559
1104	15475	40544
1105	15488	40527
1106	15502	40513
1107	15515	40496
1108	15528	40481
1109	15542	40467
1110	15555	40450
1111	15568	40432
1112	15582	40418
1113	15595	40401
1114	15608	40386
1115	15621	40369
1116	15634	40352
1117	15648	40339
1118	15661	40322
1119	15675	40308
1120	15688	40292
1121	15704	40282
1122	15719	40270
1123	15733	40256
1124	15746	40241
1125	15760	40227
1126	15774	40213
1127	15787	40197
1128	15800	40179
1129	15814	40166
1130	15827	40150
1131	15842	40138
1132	15857	40126
1133	15870	40109
1134	15883	40094
1135	15898	40081
1136	15912	40068
1137	15926	40053
1138	15940	40039
1139	15953	40024
1140	15966	40007
1141	15979	39991
1142	15994	39978
1143	16008	39964
1144	16021	39949
1145	16035	39933
1146	16048	39917
1147	16063	39906
1148	16076	39891
1149	16091	39878
1150	16104	39863
1151	16117	39846
1152	16130	39829
1153	16143	39812
1154	16156	39796
1155	16169	39780
1156	16183	39765
1157	16196	39750
1158	16210	39735
1159	16224	39720
1160	16237	39706
1161	16251	39692
1162	16266	39679
1163	16279	39663
1164	16293	39648
1165	16307	39634
1166	16320	39620
1167	16334	39604
1168	16348	39592
1169	16362	39576
1170	16375	39561
1171	16389	39546
1172	16403	39534
1173	16419	39523
1174	16433	39509
1175	16445	39491
1176	16459	39477
1177	16473	39464
1178	16487	39449
1179	16501	39434
1180	16514	39420
1181	16528	39405
1182	16544	39396
1183	16558	39381
1184	16571	39367
1185	16585	39352
1186	16599	39338
1187	16614	39325
1188	16627	39310
1189	16641	39295
1190	16655	39281
1191	16668	39267
1192	16684	39256
1193	16697	39241
1194	16712	39228
1195	16725	39212
1196	16739	39197
1197	16752	39181
1198	16766	39167
1199	16780	39155
1200	16794	39140
1201	16809	39129
1202	16822	39113
1203	16835	39096
1204	16850	39084
1205	16865	39072
1206	16879	39059
1207	16893	39044
1208	16908	39033
1209	16921	39018
1210	16936	39004
1211	16949	38988
1212	16962	38972
1213	16976	38958
1214	16989	38943
1215	17003	38929
1216	17016	38912
1217	17030	38898
1218	17044	38883
1219	17057	38868
1220	17071	38855
1221	17085	38840
1222	17098	38825
1223	17112	38810
1224	17126	38795
1225	17138	38778
1226	17153	38767
1227	17167	38753
1228	17181	38737
1229	17195	38723
1230	17208	38709
1231	17222	38694
1232	17235	38678
1233	17250	38666
1234	17263	38650
1235	17277	38636
1236	17291	38622
1237	17304	38606
1238	17318	38592
1239	17333	38581
1240	17347	38566
1241	17359	38548
1242	17373	38533
1243	17386	38517
1244	17399	38503
1245	17413	38487
1246	17426	38471
1247	17439	38456
1248	17453	38441
1249	17468	38430
1250	17480	38412
1251	17494	38398
1252	17508	38385
1253	17521	38368
